,State,dem_candidate,dem_votes,dem_per,rep_candidate,rep_votes,rep_per,electoral_college
0,Alabama,Joe Biden,"849,648",36.6%,Donald Trump,"1,441,168",62.0%,9
1,Kentucky,Joe Biden,"772,474",36.2%,Donald Trump,"1,326,646",62.1%,8
2,North Dakota,Joe Biden,"114,902",31.8%,Donald Trump,"235,595",65.1%,3
3,Alaska,Joe Biden,"153,778",42.8%,Donald Trump,"189,951",52.8%,3
4,Louisiana,Joe Biden,"856,034",39.9%,Donald Trump,"1,255,776",58.5%,8
5,Ohio,Joe Biden,"2,679,165",45.2%,Donald Trump,"3,154,734",53.3%,18
6,Arizona,Joe Biden,"1,672,143",49.4%,Donald Trump,"1,661,686",49.1%,11
7,Maine,Joe Biden,"435,072",53.0%,Donald Trump,"360,737",44.0%,4
8,Oklahoma,Joe Biden,"503,890",32.3%,Donald Trump,"1,020,280",65.4%,7
9,Arkansas,Joe Biden,"423,932",34.8%,Donald Trump,"760,647",62.4%,6
10,Maryland,Joe Biden,"1,985,023",65.7%,Donald Trump,"976,414",32.3%,10
11,Oregon,Joe Biden,"1,340,383",56.5%,Donald Trump,"958,448",40.4%,7
12,California,Joe Biden,"11,109,764",63.5%,Donald Trump,"6,005,961",34.3%,55
13,Massachusetts,Joe Biden,"2,382,202",65.6%,Donald Trump,"1,167,202",32.1%,11
14,Pennsylvania,Joe Biden,"3,460,574",50.0%,Donald Trump,"3,378,700",48.8%,20
15,Colorado,Joe Biden,"1,804,352",55.4%,Donald Trump,"1,364,607",41.9%,9
16,Michigan,Joe Biden,"2,804,040",50.6%,Donald Trump,"2,649,852",47.8%,16
17,Rhode Island,Joe Biden,"306,210",59.6%,Donald Trump,"199,837",38.9%,4
18,Connecticut,Joe Biden,"1,080,680",59.2%,Donald Trump,"715,291",39.2%,7
19,Minnesota,Joe Biden,"1,717,077",52.4%,Donald Trump,"1,484,065",45.3%,10
20,South Carolina,Joe Biden,"1,091,541",43.4%,Donald Trump,"1,385,103",55.1%,9
21,Delaware,Joe Biden,"296,268",58.8%,Donald Trump,"200,603",39.8%,3
22,Mississippi,Joe Biden,"539,398",41.0%,Donald Trump,"756,764",57.5%,6
23,South Dakota,Joe Biden,"150,471",35.6%,Donald Trump,"261,043",61.8%,3
24,District of Columbia,Joe Biden,"317,323",92.1%,Donald Trump,"18,586",5.4%,3
25,Missouri,Joe Biden,"1,253,561",41.4%,Donald Trump,"1,717,912",56.7%,10
26,Tennessee,Joe Biden,"1,143,711",37.5%,Donald Trump,"1,852,475",60.7%,11
27,Florida,Joe Biden,"5,297,045",47.9%,Donald Trump,"5,668,731",51.2%,29
28,Montana,Joe Biden,"244,786",40.4%,Donald Trump,"343,602",56.7%,3
29,Texas,Joe Biden,"5,259,126",46.5%,Donald Trump,"5,890,347",52.0%,38
30,Georgia,Joe Biden,"2,473,707",49.5%,Donald Trump,"2,461,779",49.3%,16
31,Nebraska,Joe Biden,"374,583",39.3%,Donald Trump,"556,846",58.5%,5
32,Utah,Joe Biden,"560,282",37.6%,Donald Trump,"865,140",58.1%,6
33,Hawaii,Joe Biden,"366,130",63.7%,Donald Trump,"196,864",34.3%,4
34,Nevada,Joe Biden,"703,486",50.1%,Donald Trump,"669,890",47.7%,6
35,Vermont,Joe Biden,"242,820",66.1%,Donald Trump,"112,704",30.7%,3
36,Idaho,Joe Biden,"287,021",33.1%,Donald Trump,"554,118",63.8%,4
37,New Hampshire,Joe Biden,"424,921",52.8%,Donald Trump,"365,654",45.5%,4
38,Virginia,Joe Biden,"2,413,568",54.1%,Donald Trump,"1,962,430",44.0%,13
39,Illinois,Joe Biden,"3,471,680",57.5%,Donald Trump,"2,446,733",40.5%,20
40,New Jersey,Joe Biden,"2,608,271",57.1%,Donald Trump,"1,883,140",41.3%,14
41,Washington,Joe Biden,"2,369,612",58.4%,Donald Trump,"1,584,651",39.0%,12
42,Indiana,Joe Biden,"1,242,495",41.0%,Donald Trump,"1,729,852",57.0%,11
43,New Mexico,Joe Biden,"501,614",54.3%,Donald Trump,"401,894",43.5%,5
44,West Virginia,Joe Biden,"235,984",29.7%,Donald Trump,"545,382",68.6%,5
45,Iowa,Joe Biden,"759,061",44.9%,Donald Trump,"897,672",53.1%,6
46,New York,Joe Biden,"5,244,006",60.9%,Donald Trump,"3,250,230",37.7%,29
47,Wisconsin,Joe Biden,"1,630,866",49.4%,Donald Trump,"1,610,184",48.8%,10
48,Kansas,Joe Biden,"570,323",41.5%,Donald Trump,"771,406",56.1%,6
49,North Carolina,Joe Biden,"2,684,306",48.6%,Donald Trump,"2,758,779",49.9%,15
50,Wyoming,Joe Biden,"73,491",26.6%,Donald Trump,"193,559",69.9%,3
