CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Tear Gas,,,,,,,,,,
Boise,City Hall,,ID,US,2020-07-01,about 1000 protesters and counter protesters,1000,,1000,,,Idaho Liberty Dogs; counter protesters,support for law enforcement; all lives matter; police lives matter,2,counter protest,0,0,0,0,1,1,https://apnews.com/article/7b33a99af4e10d4205fca763c7eec527,https://www.idahopress.com/news/local/about-1-000-protesters-from-two-sides-attend-protest-at-boise-city-hall/article_4cc3c018-854d-5cff-93d0-6032932bb3cb.html,,,0,,,,,,,,,,
Boise,City Hall,,ID,US,2020-07-01,about 1000 protesters and counter protesters,1000,,1000,,,Black Lives Matter Boise; general protesters,defund the police; Black Lives Matter,1,protest,0,0,0,0,1,1,https://apnews.com/article/7b33a99af4e10d4205fca763c7eec527,https://www.idahopress.com/news/local/about-1-000-protesters-from-two-sides-attend-protest-at-boise-city-hall/article_4cc3c018-854d-5cff-93d0-6032932bb3cb.html,,,0,,,,,,,,,,
Capitola,Capitola Police Department,,CA,US,2020-07-01,hundreds,200,,200,,,general protestors,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.santacruzsentinel.com/2020/07/02/hundreds-wind-through-capitola-in-black-lives-matter-march/,,,,,,,,,,,,,,
Cherry Valley,In Front of the Civil War Monument,,NY,US,2020-07-01,,,,,,,general protesters,antiracism; against police brutality,0,protest,0,0,0,0,1,1,https://www.coopercrier.com/news/local_news/cherry-valley-rallies-for-racial-justice-continue/article_cbed7b2e-6a2e-5eee-8d54-3b979452c4b5.html,,,,,,,,,,,,,,
Deerfield,Mitchell Park,,IL,US,2020-07-01,more than 300,300,,300,,,Deerfield and Highland Park school alumni,against racism  ,0,rally,,,,,1,1,https://www.chicagotribune.com/suburbs/highland-park/ct-hpn-hear-people-of-color-rally-tl-0709-20200707-wcsygnr44rguvbcqppwb6xo7ce-story.html,,,,,,,,,,,,,,
Denver,Civic Center Park,,CO,US,2020-07-01,,,,,,,Occupy Denver,antiracism; against police brutality,1,protest,6,0,1,0,1,1,https://denver.cbslocal.com/2020/07/02/denver-police-protests-civic-center-park-arrests-violence/,,,,,,,,,,,,,,
Des Moines,Iowa Capitol,,IA,US,2020-07-01,,,,,,,general protesters,"""to persuade Gov. Kim Reynolds to restore voting rights to felons""",1,protest,15,0,0,0,1,1,https://apnews.com/article/ac6f9bfdf5077ec1325ddaed87dbc4e4,,,use of pepper spray,0,,,,,,,,,,
Fairfield,corner of Business Center Dr and Green Valley Road,,CA,US,2020-07-01,,,,,,,general protestors,antiracism; against police brutality,1,protest,,,,,1,1,https://www.instagram.com/p/CCDAY1OhrLj/,,,,,,,,,,,,,,
Fredericksburg,Hurkamp Park to Police Headquarters,,VA,US,2020-07-01,between 120 and 150,120,,150,,,four local protest groups,antiracism; solidarity with arrested protestors,1,march,0,0,0,0,1,1,https://fredericksburg.com/news/local/fredericksburg-protesters-confront-police-over-use-of-tear-gas-in-early-demonstrations/article_bca148ea-03a9-598f-ab74-43f2689d4455.html,,,,,,,,,,,,,,
Fredericksburg,,,VA,US,2020-07-01,,,,,,,BLM FXBG,antiracism; against police brutality,1,march,0,0,0,0,0,1,https://fredericksburg.com/news/local/fredericksburg-protesters-confront-police-over-use-of-tear-gas-in-early-demonstrations/article_bca148ea-03a9-598f-ab74-43f2689d4455.html,,,,,,,,,,,,,,
