CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,TearGas,,,,,,,,,,,,,,,,,,
Aberdeen,along Sixth Avenue Southeast near Main Street,Brown,SD,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.aberdeennews.com/entertainment/photos-george-floyd-protesters-in-aberdeen-monday-night/collection_97d4a854-a48d-11ea-8bfc-9726e7c4fb6f.html#4,https://www.aberdeennews.com/news/local/police-no-problems-reported-as-monday-protest-remains-peaceful/article_0b26b724-a47b-11ea-b0c7-cf1654800b4f.html,,,0,,,,,,,,,,,,,,,,,,
Alameda,Alameda Police Department,Alameda,CA,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.actiontogetherbayarea.org/calendar,,,,0,,,,,,,,,,,,,,,,,,
Albany,,Albany,NY,US,2020-06-01,,,   ,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/MelanieJoi03/status/1267590096590721025,https://twitter.com/chris_churchill/status/1267502415881875459,,,1,,,,,,,,,,,,,,,,,,
Albuqeurque,Central Ave,Bernalillo,NM,US,2020-06-01,at least a few hundred,300,,300,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://www.koat.com/article/pouring-rain-doesnt-stop-protesters-in-albuquerque/32737361,https://twitter.com/cassy20481992/status/1267175801570521088,https://twitter.com/bladvs/status/1267630859278049282,,,,,,,,,,,,,,,,,,,,
Alcoa,Springbrook Park,Blount,TN,US,2020-06-01,dozens,24,,24,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.wbir.com/article/news/local/istandwithyou-photoshoot-brings-alcoa-together/51-00de3c6c-a35e-46dc-856a-ac5ea5770c95,,,,,,,,,,,,,,,,,,,,,,
Alton,Alton Law Enforcement Center,Madison,IL,US,2020-06-01,over 150,150,,150,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.thetelegraph.com/news/article/Over-150-residents-unite-for-8220-Black-Lives-15309555.php,,,,,,,,,,,,,,,,,,,,,,
Alton,,Belknap,NH,US,2020-06-01,na,7,,7,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/seedevonwrite/status/1267866936907567105,,,date uncertain,,,,,,,,,,,,,,,,,,,
Anaheim,City Hall,Orange,CA,US,2020-06-01,more than 500,500,,500,,,general protesters,antiracism; against police brutality,1,protest,25,0,0,0,1,1,https://twitter.com/CorbinCarson/status/1267641395461754881,https://www.ocregister.com/anaheim-park-hosts-first-of-several-george-floyd-protests-in-anaheim-monday-night,,,,,,,,,,,,,,,,,,,,,
Andover,Shawsheen Square,Essex,MA,US,2020-06-01,about 500,500,,500,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.eagletribune.com/news/merrimack_valley/500-protest-peacefully-in-shawsheen-square/article_f6281a5c-9251-51ea-9497-af9ffb31107d.html,https://patch.com/massachusetts/andover/andover-rallies-george-floyd-ahs-responds-racist-posts,,,,,,,,,,,,,,,,,,,,,
Anoka,Main Street; next to city hall,Anoka,MN,US,2020-06-01,more than 100,100,,100,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.hometownsource.com/abc_newspapers/free/updated-peaceful-protesters-gather-june-1-in-anoka/article_985927e8-a413-11ea-8ec4-e79476c64fb8.html,,,,,,,,,,,,,,,,,,,,,,
Arcata,City Hall; Police Station,Humboldt,CA,US,2020-06-01,400 or 500,400,,500,,,general protesters,antiracism; against police brutality,1,protest; march,0,0,0,0,1,1,https://lostcoastoutpost.com/2020/jun/1/protest-against-police-injustice-downtown-arcata-a/,,,,,,,,,,,,,,,,,,,,,,
Arlington,Interstate 20 to Arlington City Hall,Tarrant,TX,US,2020-06-01,na,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.star-telegram.com/news/local/arlington/article243212596.html,https://www.star-telegram.com/news/local/arlington/article243469606.html,,,,,,,,,,,,,,,,,,,,,
Asbury Park,start at Post Office ,Monmouth,NJ,US,2020-06-01,about 5000,5000,,5000,,,general protesters,antiracism; against police brutality,1,march,12,0,1,0,1,1,https://www.app.com/story/news/local/communitychange/2020/06/03/george-floyd-asbury-park-rally-peaceful-end-night-not/3123071001/,,https://nyc.epeak.in/2020/06/02/police-officer-injured-journalist-among-12-arrested-in-asbury-park-protest/,arrests came after protest was over; arrest of journalist sparks outrage and House panel looks into event,https://nj1015.com/asbury-park-protest-draws-thousands-locals-say-go-in-peace-when-it-ends/?utm_source=dlvr.it&utm_medium=%5Bmelissa%5D,https://www.app.com/story/news/politics/2020/06/29/gustavo-martinez-contreras-first-amendment-arrest/3277861001/,,,,,,,,,,,,,,,,,
Asheboro,Historic Courthouse on Worth Street,Randolph,NC,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.courier-tribune.com/news/20200602/protesters-mix-it-up-at-monument,,,,,,,,,,,,,,,,,,,,,,
Asheville,Vance Monument to Asheville Police Department,Buncombe,NC,US,2020-06-01,hundreds,200,,200,,,general protesters,antiracism; against police brutality,1,march,0,0,0,1,1,1,https://www.citizen-times.com/story/news/2020/06/02/protest-nc-asheville-protests-pictures-video-george-floyd-nc/3123572001/,https://www.citizen-times.com/story/news/local/2020/06/08/answer-man-busloads-antifa-brought-demonstrations/3156962001/,,,1,,,,,,,,,,,,,,,,,,
Atlanta,,Fulton,GA,US,2020-06-01,several hundred,300,,300,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/afainatl/status/1267605217031458816,,,,,,,,,,,,,,,,,,,,1,1,https://twitter.com/KatieRedefer/status/1267585036607512577
Auburn,Historic Auburn Courthouse,Placer,CA,US,2020-06-01,estimated from 400 to 600,400,,600,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://twitter.com/annehelen/status/1267657377567801344,https://goldcountrymedia.com/news/174702/peaceful-protests-continue-in-auburn-as-crowd-of-400-600-chants-honks-at-intersection-of-historic-courthouse/,,,,,,,,,,,,,,,,,,,,,
Austin,Police HQ,Travis,TX,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,,0,0,0,0,1,https://www.usatoday.com/story/news/nation/2020/06/03/george-floyd-protests-quincy-mason-minneapolis-washington-curfew/3134191001/,,,,0,,,,,,,,,,,,,,,,,,
Bakersfield,Near Police HQ,Kern,CA,US,2020-06-01,around 200,200,,200,,,general protesters,antiracism; against police brutality,1,protest,2,0,3,0,1,1,https://www.kget.com/news/local-news/bpd-one-arrested-for-dui-set-off-illegal-firework-near-protest-no-information-if-associated-with-protesters/,https://www.kget.com/news/crime-watch/second-man-pleads-not-guilty-to-throwing-rocks-at-bakersfield-police-during-protest/,,,,,,,,,,,,,,,,,,,,,
Baltimore,City Hall to W. Pratt Street,,MD,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.baltimoresun.com/news/crime/bs-md-ci-cr-west-charges-20200609-toawtkyopngbjmffxpdwkandoa-story.html,,,,0,,,,,,,,,,,,,,,,,,
Bangor,public library,Penobscot,ME,US,2020-06-01,estimated 500-600,500,,600,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://twitter.com/NoahBroooks/status/1267573106350133249,https://bangordailynews.com/2020/06/02/news/bangor/bangors-anti-racism-rally-was-one-of-the-citys-biggest-in-years/,https://bangordailynews.com/2020/06/02/news/bangor/a-look-at-the-anti-racism-protest-in-bangor-on-monday/,,,,,,,,,,,,,,,,,,1,1,https://twitter.com/KatieRedefer/status/1267585036607512577
Bath,Sagadahoc County Courthouse; Police Department; City Hall,Sagadahoc,ME ,US,2020-06-01,about 50,50,,50,,,general protesters,antiracism; against police brutality,1,protest; march,0,0,0,0,1,1,https://www.pressherald.com/2020/06/01/black-lives-matter-protesters-march-in-bath/,,,,,,,,,,,,,,,,,,,,,,
Baton Rouge,Siegen Lane,East Baton Rouge,LA,US,2020-06-01,estimate 300,300,,300,,,general protesters,antiracism; against police brutality,1,protest,2,0,0,0,1,1,https://twitter.com/hscheinukphoto/status/1267978886593294336,https://www.theadvocate.com/baton_rouge/news/article_db083214-a4fe-11ea-a7bf-27668fa21641.html,,,,,,,,,,,,,,,,,,,1,1,https://twitter.com/KatieRedefer/status/1267585036607512577
Bay Village,wolf road,Cuyahoga,OH,US,2020-06-01,na,1,,1,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.news5cleveland.com/news/local-news/oh-cuyahoga/bay-village-police-want-to-unite-community-not-divide-it,,,,,,,,,,,,,,,,,,,,,,
Beacon,Main Street,Dutchess,NY,US,2020-06-01,hundreds,200,,200,,,general protesters,antiracism; against police brutality,1,"protest, march",0,0,0,0,1,1,https://www.poughkeepsiejournal.com/story/news/local/2020/06/10/poughkeepsie-man-arrested-amid-peaceful-protest-city-last-week/5325508002/,,,,0,,,,,,,,,,,,,,,,,,
Beavercreek,intersection of North Fairfield Road and Pentagon Boulevard,Greene,OH,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,march,0,0,0,0,1,1,https://www.whio.com/news/crime-and-law/george-floyd-protests-planned-some-dayton-area-suburbs-tonight/H5SSQJXFMZC43IVOJ35NXXLESY/,,,,1,,,,,,,,,,,,,,,,,,
Beckley,Raleigh County Courthouse,Raleigh,WV,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://wvpress.org/breaking-news/protesters-gather-in-beckley-w-va-over-death-of-george-floyd/,,,,,,,,,,,,,,,,,,,,,,
Belfast,,Waldo,ME,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/SaraSalley/status/1267632433702281216,,,,,,,,,,,,,,,,,,,,,,
Bentonville,,Benton,AR,US,2020-06-01,about 1500,1500,,1500,,,general protesters,antiracism; against police brutality,1,protest,0,1,0,1,1,1,https://twitter.com/theLovelyLisaB/status/1267666125984354311,https://www.arkansasonline.com/news/2020/jun/01/deputies-fire-tear-gas-protesters-bentonville-squa/,,,1,,,,,,,,,,,,,,,,1,1,https://twitter.com/KatieRedefer/status/1267585036607512577
Berea,near Union church and Berea College’s campus,Madison,KY,US,2020-06-01,a hundred or so; around 75,100,,100,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/annehelen/status/1267655885725134848,https://wbontv.com/2020/06/02/berea-holds-multiple-demonstrations-richmond-to-hold-peaceful-protest-saturday/,,,,,,,,,,,,,,,,,,,,,
Berkeley,Marin Ave,Alameda,CA,US,2020-06-01,count pic,6,,6,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/AmalyaDubrovsky/status/1267536001112477697,,,,,,,,,,,,,,,,,,,,1,1,https://twitter.com/KatieRedefer/status/1267585036607512577
Big Spring,at the corner of MLK and Gregg Street ,,TX,US,2020-06-01,approximately 20,20,,20,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://kbst.com/kbest-station-updates/511319,,,,,,,,,,,,,,,,,,,,,,
Birmingham,Linn Park,Jefferson ,AL,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,12,0,0,1,1,1,https://www.al.com/news/2020/06/birmingham-bars-protests-19-hours-a-day-experts-say-thats-unconstitutional.html,,,,,,,,,,,,,,,,,,,,,,
Bisbee,Copper Queen Plaza Park,Cochise,AZ,US,2020-06-01,75 to 80,75,,80,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://havanatimes.org/features/a-small-town-in-arizona-says-black-lives-matter/,,,,,,,,,,,,,,,,,,,,,,
Blacksburg,Main Street and College Avenue to Blacksburg Police Department through downtown and back to the Police Department,Montgomery,VA,US,2020-06-01,hundreds,200,,200,,,general protesters,antiracism; against police brutality,1,protest; march; demonstration,0,0,0,0,1,1,https://www.wsls.com/news/local/2020/06/01/hundreds-march-in-blacksburg-for-peaceful-protest-against-police-brutality/,,,,,,,,,,,,,,,,,,,,,,
Bloomington,"around Courthouse Square, in front of the Bloomington Police Department headquarters and through the IU campus",Monroe,IN,US,2020-06-01,about 150,150,,150,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.idsnews.com/article/2020/06/bloomington-protests-continue-monday-night-with-downtown-march,,,,0,,,,,,,,,,,,,,,,,,
Boca Raton,Glades Road,Palm Beach ,FL,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.palmbeachpost.com/photogallery/LK/20200602/PHOTOGALLERY/602009996/PH/1,,,,,,,,,,,,,,,,,,,,,,
Bonita Springs,Riverside Park; public sidewalks along Old 41 Road,Lee,FL,US,2020-06-01,around 30,30,,30,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.naplesnews.com/story/news/local/2020/06/05/riverside-park-bonita-springs-vandalized-councilman-offers-reward-information/3153729001/,https://www.naplesnews.com/story/news/local/2020/06/02/bonita-springs-black-lives-matter-peaceful-protest-held-after-george-floyd-death/5310205002/,,,0,,,,,,,,,,,,,,,,,,
Bothell,,King,WA,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://twitter.com/annehelen/status/1268206878120505344?s=20,https://twitter.com/BothellPolice/status/1267596822626709504?s=20,,,,,,,,,,,,,,,,,,,,,
Boynton Beach,from Congress Avenue towards Seacrest Boulevard onto Gateway Boulevard looping back to Congress Avenue,Palm Beach,FL,US,2020-06-01,dozens,,,,,,general protesters,antiracism; against police brutality,1,march,0,0,0,0,1,1,https://cbs12.com/news/local/dozens-of-protesters-gather-in-boynton-beach,,,,0,,,,,,,,,,,,,,,,,,
Bradford,Veterans Square,McKean,PA,US,2020-06-01,roughly 15,15,,15,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,http://www.bradfordera.com/bradford/protesters-organize-at-veterans-square/article_5c2a5995-7d44-57b0-b776-9fa822fa7347.html,,,,,,,,,,,,,,,,,,,,,,
Breckinridge,Riverwalk Center,Summit,CO,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://twitter.com/TigerDaddy0307/status/1267562371721179136,https://www.summitdaily.com/news/crowd-gathers-in-breckenridge-to-peacefully-protest-racial-injustice/,,,0,,,,,,,,,,,,,,,,,,
Brevard,,Transylvania,NC,US,2020-06-01,,,,,,,NAACP,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/annehelen/status/1267840855223631872,,,,,,,,,,,,,,,,,,,,,,
Bridgewater,Central Square,Plymouth,MA,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://www.enterprisenews.com/news/20200606/brockton-area-communities-rally-for-racial-justice-in-solidarity,,,,,,,,,,,,,,,,,,,,,,
Bristol,in front of police department,Hartford,CT,US,2020-06-01,hundreds,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://twitter.com/autumnklem/status/1267524570489241602,https://www.nbcconnecticut.com/news/local/were-demanding-give-us-justice-more-ct-rallies-push-for-change-justice-for-george-floyd/2280584/?_osource=db_npd_nbc_wvit_twt_shr,https://www.newsbreak.com/connecticut/bristol/news/0PDMrMY0/hundreds-rally-chant-i-cant-breathe-in-bristol-during-peaceful-protest-of-george-floyd-death,http://www.bristolpress.com/BP-Bristol+News/373157/peaceful-protests-in-several-area-towns-planned-over-next-two-days,0,,,,,,,,,,,,,,,,,,
