OBJECTID,GEO_NAME,GEO_PARENT_NAME,FIPS_CODE,B25010_002E,B25010_002M,B25010_003E,B25010_003M,DP04_0047PE,DP04_0047PM
1,Autauga County,Alabama,01001,2.59,0.07,2.6,0.16,25.1,2
2,Baldwin County,Alabama,01003,2.66,0.06,2.48,0.11,26.4,1.2
3,Barbour County,Alabama,01005,2.44,0.11,2.58,0.15,38.6,3
4,Bibb County,Alabama,01007,3.05,0.18,2.81,0.38,24.9,3.9
5,Blount County,Alabama,01009,2.85,0.07,2.48,0.15,21.4,1.9
6,Bullock County,Alabama,01011,2.71,0.2,2.88,0.41,24.5,5
7,Butler County,Alabama,01013,2.89,0.14,3.04,0.24,30.1,2.9
8,Calhoun County,Alabama,01015,2.47,0.04,2.52,0.1,30.5,1.4
9,Chambers County,Alabama,01017,2.46,0.08,2.47,0.17,32.2,2.8
10,Cherokee County,Alabama,01019,2.44,0.1,2.3,0.2,21,2.9
11,Chilton County,Alabama,01021,2.6,0.1,2.59,0.18,25.2,2.7
12,Choctaw County,Alabama,01023,2.41,0.13,2.4,0.31,20.3,3.3
13,Clarke County,Alabama,01025,2.74,0.13,2.21,0.18,32.5,2.9
14,Clay County,Alabama,01027,2.54,0.15,2.42,0.24,27.6,3.5
15,Cleburne County,Alabama,01029,2.61,0.1,2.48,0.25,24.3,3.5
16,Coffee County,Alabama,01031,2.59,0.07,2.5,0.1,35.2,2.1
17,Colbert County,Alabama,01033,2.51,0.07,2.41,0.13,27.3,1.8
18,Conecuh County,Alabama,01035,2.73,0.19,2.72,0.37,23.4,4.6
19,Coosa County,Alabama,01037,2.59,0.16,2.38,0.4,18,3.9
20,Covington County,Alabama,01039,2.47,0.07,2.38,0.12,26,1.9
21,Crenshaw County,Alabama,01041,2.73,0.12,2.72,0.19,26.2,2.7
22,Cullman County,Alabama,01043,2.67,0.07,2.56,0.13,25.4,1.5
23,Dale County,Alabama,01045,2.42,0.07,2.81,0.12,39.8,1.9
24,Dallas County,Alabama,01047,2.37,0.09,2.48,0.12,40.2,2.2
25,DeKalb County,Alabama,01049,2.68,0.08,2.7,0.13,28.8,2.1
26,Elmore County,Alabama,01051,2.65,0.07,2.59,0.14,26.3,1.6
27,Escambia County,Alabama,01053,2.6,0.11,2.5,0.19,31.2,2.4
28,Etowah County,Alabama,01055,2.62,0.06,2.63,0.09,28.1,1.5
29,Fayette County,Alabama,01057,2.37,0.1,2.23,0.22,22.1,2.9
