State,ST,Fips_x,County,Precincts,Votes,Democrats 08 (Votes),Democrats 12 (Votes),Republicans 08 (Votes),Republicans 12 (Votes),Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Republicans 2012,Republicans 2008,Democrats 2012,Democrats 2008,SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE,FIPS,Fips_y,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,FIPStxt_x,Stabr,area_name,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Postal Code,"Poverty Estimate, All Ages","Poverty Percent, All Ages","Poverty Estimate, Age 0-17","Poverty Percent, Age 0-17","Poverty Estimate, Age 5-17 in Families","Poverty Percent, Age 5-17 in Families",Median Household Income,NIPR,NUI,NIC,PCTUI,PCTIC,PCTELIG,PCTLIIC,--,Administrative,Agriculture,Construction,Educational Services,Finance,Food services,Health care,Information,Management,Manufacturing,Mining,Other,Professional Services,Real Estate,Recreation,Retail,Transportation,Utitilities,Wholesale,FIPStxt_y
Georgia,GA,13089,"DeKalb County, Georgia",192.0,295871.0,254594.0,238224.0,65581.0,64392.0,16.06477147,80.82272342,,3.112505112,21.02492939,20.34756007,77.78361876,78.99188344,50,13,89,Georgia,DeKalb County,9,0,746802,353157,393645,131573,135656,187973,223367,2088,1591,23936,24325,287,322,7300,8384,137315,142129,192299,228617,4568,4582,26410,27094,642,713,319713,363368,105370,112765,183963,218703,579,601,23581,24015,144,172,6076,7112,110123,118200,187560,223147,2461,2984,25802,26493,426,492,33444,30277,26203,22891,4010,4664,1509,990,355,310,143,150,1224,1272,27192,23929,4739,5470,2107,1598,608,601,216,221,13089,13089,87.9,38.7,15.1,76.15,13089,GA,"DeKalb County, GA",382087.0,361505.0,20582.0,5.4,GA,127476,17.5,44482,25.8,29054,24.4,56053,643155.0,98243.0,544912.0,15.3,84.7,15.3,84.7,16822.0,4640.0,35.0,3920.0,1750.0,4325.0,7485.0,10010.0,1910.0,695.0,2010.0,30.0,7325.0,14950.0,5090.0,1460.0,11225.0,2295.0,145.0,4640.0,13089
Texas,TX,48487,"Wilbarger County, Texas",7.0,4101.0,1196.0,971.0,3283.0,2956.0,77.20068276,19.67812729,0.316995855,2.8041940989999996,74.27135678,72.80993568,24.39698492,26.52472832,50,48,487,Texas,Wilbarger County,9,0,12880,6393,6487,5407,5556,534,515,99,103,203,179,5,5,145,129,5537,5674,602,584,159,152,229,200,11,10,4505,4680,3655,3874,480,464,61,64,194,172,2,4,113,102,3759,3968,533,521,103,100,215,190,8,7,1888,1807,1752,1682,54,51,38,39,9,7,3,1,32,27,1778,1706,69,63,56,52,14,10,3,3,48487,48487,73.6,15.9,5.9,69.25,48487,TX,"Wilbarger County, TX",5046.0,4809.0,237.0,4.7,TX,1981,15.8,717,24.7,486,23.6,40955,10423.0,2012.0,8411.0,19.3,80.7,19.3,80.7,294.0,30.0,10.0,100.0,5.0,150.0,165.0,145.0,45.0,,55.0,35.0,180.0,90.0,60.0,20.0,225.0,55.0,40.0,55.0,48487
Virginia,VA,51111,"Lunenburg County, Virginia",12.0,5577.0,2703.0,2684.0,2900.0,2969.0,57.48610364,39.91393222,0.448269679,1.57790927,51.77886292,51.32743363,46.80851064,47.84070796,50,51,111,Virginia,Lunenburg County,9,0,12319,6523,5796,4033,3760,2316,1854,29,29,15,22,12,9,118,122,4139,3875,2389,1925,62,76,40,37,17,14,6182,5553,3784,3582,2263,1822,22,21,15,22,3,1,95,105,3869,3681,2322,1885,47,59,36,36,7,4,341,243,249,178,53,32,7,8,0,0,9,8,23,17,270,194,67,40,15,17,4,1,10,10,51111,51111,71.5,10.0,3.0,72.35,51111,VA,"Lunenburg County, VA",5245.0,5001.0,244.0,4.7,VA,2231,19.8,586,26.1,414,25.5,38313,8651.0,1234.0,7417.0,14.3,85.7,14.3,85.7,173.0,40.0,25.0,135.0,,45.0,45.0,75.0,10.0,5.0,35.0,,125.0,40.0,10.0,10.0,190.0,40.0,,35.0,51111
Georgia,GA,13297,"Walton County, Georgia",21.0,40425.0,8469.0,8148.0,27253.0,29036.0,76.9152752,20.47990105,,2.6048237480000003,77.19876635,75.64814301,21.66329895,23.50802198,50,13,297,Georgia,Walton County,9,0,89786,43724,46062,34879,36013,7273,8409,170,184,591,703,52,42,759,711,35560,36648,7680,8809,406,387,773,869,87,88,41825,44222,33337,34533,7131,8235,107,124,567,687,38,27,645,616,33917,35082,7476,8589,291,290,731,837,69,63,1899,1840,1542,1480,142,174,63,60,24,16,14,15,114,95,1643,1566,204,220,115,97,42,32,18,25,13297,13297,80.4,17.3,5.3,73.75,13297,GA,"Walton County, GA",43313.0,41186.0,2127.0,4.9,GA,11385,12.8,4264,18.9,2994,17.7,55267,76272.0,10825.0,65447.0,14.2,85.8,14.2,85.8,1602.0,590.0,30.0,1415.0,105.0,445.0,555.0,745.0,95.0,25.0,250.0,5.0,825.0,720.0,405.0,80.0,980.0,290.0,30.0,405.0,13297
North Carolina,NC,37011,"Avery County, North Carolina",19.0,8060.0,2178.0,1882.0,5681.0,5766.0,77.24565757,20.71960298,,2.034739454,74.31370022,71.52209493,24.25570305,27.42037014,50,37,11,North Carolina,Avery County,9,0,17442,9513,7929,8652,7643,678,102,66,36,39,48,5,5,73,95,8718,7732,710,139,104,85,50,62,5,9,8959,7613,8154,7363,667,89,38,30,33,39,3,4,64,88,8211,7445,694,121,73,77,43,53,3,8,554,316,498,280,11,13,28,6,6,9,2,1,9,7,507,287,16,18,31,8,7,9,2,1,37011,37011,81.3,20.3,6.0,76.25,37011,NC,"Avery County, NC",7576.0,7195.0,381.0,5.0,NC,2985,19.7,781,30.2,533,27.6,38098,11501.0,2126.0,9375.0,18.5,81.5,18.5,81.5,474.0,130.0,10.0,315.0,10.0,85.0,275.0,200.0,40.0,5.0,70.0,5.0,260.0,165.0,180.0,75.0,405.0,55.0,10.0,75.0,37011
North Carolina,NC,37069,"Franklin County, North Carolina",18.0,29902.0,13085.0,13436.0,13273.0,14603.0,54.57828908,42.84328807,,2.578422848,51.43893762,49.8254439,47.328190500000005,49.1197117,50,37,69,North Carolina,Franklin County,9,0,64676,32169,32507,22827,22536,8217,8837,307,281,170,225,28,25,620,603,23351,23051,8585,9197,531,507,313,346,55,48,29310,30111,20602,20629,7905,8612,146,166,127,194,4,7,526,503,21041,21058,8225,8913,330,354,255,295,26,26,2859,2396,2225,1907,312,225,161,115,43,31,24,18,94,100,2310,1993,360,284,201,153,58,51,29,22,37069,37069,80.1,15.2,4.6,75.4,37069,NC,"Franklin County, NC",29347.0,27816.0,1531.0,5.2,NC,9624,15.3,3048,21.5,2093,19.7,49484,52633.0,6878.0,45755.0,13.1,86.9,13.1,86.9,1011.0,370.0,65.0,1005.0,50.0,180.0,290.0,375.0,60.0,5.0,235.0,15.0,640.0,410.0,140.0,45.0,720.0,200.0,20.0,220.0,37069
Michigan,MI,26037,"Clinton County, Michigan",35.0,40564.0,20005.0,18191.0,19726.0,20650.0,53.33546987,40.65180949,0.934326003,4.646977616,52.63157895,48.84970655,46.36421562,49.54062554,50,26,37,Michigan,Clinton County,9,0,77617,38360,39257,36101,36966,793,673,188,198,581,669,18,18,679,733,36736,37654,1109,1016,411,469,759,833,40,42,36594,37525,34539,35415,732,625,149,157,558,663,14,14,602,651,35105,36032,1010,922,336,393,724,814,35,37,1766,1732,1562,1551,61,48,39,41,23,6,4,4,77,82,1631,1622,99,94,75,76,35,19,5,5,26037,26037,93.0,27.2,9.7,80.85,26037,MI,"Clinton County, MI",40488.0,38993.0,1495.0,3.7,MI,6509,8.4,1712,9.9,1067,8.2,66396,65122.0,2939.0,62183.0,4.5,95.5,4.5,95.5,1310.0,385.0,40.0,895.0,60.0,435.0,535.0,580.0,110.0,10.0,290.0,15.0,740.0,570.0,295.0,100.0,875.0,260.0,,340.0,26037
Arkansas,AR,5045,"Faulkner County, Arkansas",50.0,47196.0,14955.0,13621.0,25362.0,26722.0,61.80608526,30.77591321,1.07424358,3.472751928,64.45248432,61.58964521,32.85335263,36.31705481,50,5,45,Arkansas,Faulkner County,9,0,122206,59828,62378,50667,52270,6788,7471,419,465,712,811,52,42,1190,1319,51721,53470,7333,8048,857,979,993,1101,172,167,57200,60035,48366,50253,6689,7380,324,353,693,790,32,38,1096,1221,49335,51365,7190,7925,717,810,955,1061,146,154,2628,2343,2301,2017,99,91,95,112,19,21,20,4,94,98,2386,2105,143,123,140,169,38,40,26,13,5045,5045,87.4,26.4,8.6,76.8,5045,AR,"Faulkner County, AR",60456.0,58164.0,2292.0,3.8,AR,18782,16,4841,17.2,3141,15.2,50909,104046.0,8558.0,95488.0,8.2,91.8,8.2,91.8,2522.0,565.0,20.0,1355.0,140.0,870.0,1090.0,1550.0,150.0,95.0,415.0,150.0,1260.0,1195.0,675.0,135.0,2010.0,355.0,55.0,510.0,5045
North Carolina,NC,37025,"Cabarrus County, North Carolina",46.0,91002.0,31546.0,32849.0,45924.0,49557.0,58.48662667,38.51343927,,2.999934067,59.30282651,58.88145242,39.30904913,40.44670103,50,37,25,North Carolina,Cabarrus County,9,0,201639,98225,103414,74824,77367,16948,19189,650,740,3675,3737,72,99,2056,2282,76702,79418,18285,20665,1159,1369,4092,4195,150,180,88003,93315,66461,69138,15944,18239,288,311,3519,3610,40,56,1751,1961,68057,70907,17101,19511,695,824,3900,4023,98,121,10222,10099,8363,8229,1004,950,362,429,156,127,32,43,305,321,8645,8511,1184,1154,464,545,192,172,52,59,37025,37025,85.0,23.5,7.1,77.4,37025,NC,"Cabarrus County, NC",101184.0,96569.0,4615.0,4.6,NC,21980,11,8284,16.1,5388,13.9,63059,174886.0,17123.0,157763.0,9.8,90.2,9.8,90.2,4234.0,1245.0,40.0,2590.0,245.0,1015.0,1865.0,1845.0,295.0,105.0,770.0,15.0,2265.0,1855.0,1080.0,460.0,3610.0,655.0,35.0,1150.0,37025
Idaho,ID,16025,"Camas County, Idaho",2.0,599.0,187.0,159.0,422.0,402.0,68.44741235,18.3639399,2.5041736230000002,3.839732888,69.55017301,68.28478964,27.50865052,30.25889968,50,16,25,Idaho,Camas County,9,0,1082,562,520,525,486,1,3,10,6,2,3,0,1,24,21,549,506,5,11,26,18,7,5,0,1,518,489,485,458,1,2,9,6,2,3,0,1,21,19,506,477,5,9,22,17,7,4,0,1,44,31,40,28,0,1,1,0,0,0,0,0,3,2,43,29,0,2,4,1,0,1,0,0,16025,16025,81.9,22.6,5.9,77.5,16025,ID,"Camas County, ID",659.0,635.0,24.0,3.6,ID,106,9.9,35,14.1,22,11.1,49153,842.0,134.0,708.0,15.9,84.1,15.9,84.1,31.0,5.0,,40.0,,5.0,30.0,15.0,,,10.0,,10.0,,,15.0,15.0,10.0,,,16025
