OBJECTID,GEO_ID,GEO_NAME,GEO_PARENT_NAME,FIPS_CODE,EMP_00,EMP_4451,EMP_44611,EMP_4811,EMP_4854,EMP_5121,EMP_6211,EMP_6214,EMP_6215,EMP_6219,EMP_6221,EMP_6231,EMP_6244,EMP_7111,EMP_7112,EMP_7121,EMP_7131,EMP_7211,EMP_7224,EMP_7225,EMP_8121,PAYANNAVG_CALC,ESTAB_00,ESTAB_4451,ESTAB_44611,ESTAB_4811,ESTAB_4854,ESTAB_5121,ESTAB_6211,ESTAB_6214,ESTAB_6215,ESTAB_6219,ESTAB_6221,ESTAB_6231,ESTAB_6244,ESTAB_7111,ESTAB_7112,ESTAB_7121,ESTAB_7131,ESTAB_7211,ESTAB_7224,ESTAB_7225,ESTAB_8121
1,0500000US01001,Autauga County,Alabama,01001,11036,299,66,,,,191,29,,,,,165,,,,,173,,2238,44,32710,869,5,6,,,,23,4,,,,,13,,,,,8,,87,17
2,0500000US01003,Baldwin County,Alabama,01003,61792,1738,523,,,143,1384,318,0,407,0,564,495,,,55,415,2188,172,10530,253,33780,5384,34,37,,,9,143,32,9,10,3,5,39,,,3,11,64,19,467,65
3,0500000US01005,Barbour County,Alabama,01005,6834,163,44,,,,49,84,,,,,,,,,,43,,585,,34690,455,5,7,,,,9,6,,,,,,,,,,8,,43,
4,0500000US01007,Bibb County,Alabama,01007,3484,107,33,,,,0,,,,,,42,,,,,,,221,,39100,284,5,4,,,,4,,,,,,3,,,,,,,16,
5,0500000US01009,Blount County,Alabama,01009,6645,118,86,,,,84,124,,,,,86,,,,,,,658,9,32380,698,7,11,,,,11,5,,,,,11,,,,,,,45,4
6,0500000US01011,Bullock County,Alabama,01011,1978,91,22,,,,,,,,,,,,,,,,,67,,32260,107,4,3,,,,,,,,,,,,,,,,,7,
7,0500000US01013,Butler County,Alabama,01013,5983,126,43,,,,93,,,,,,,,,,,74,,614,16,30850,422,5,4,,,,9,,,,,,,,,,,8,,31,4
8,0500000US01015,Calhoun County,Alabama,01015,36301,852,266,,0,,939,354,32,141,0,540,136,,,,0,279,,4338,79,34370,2319,32,24,,3,,89,17,6,6,3,3,11,,,,3,25,,179,26
9,0500000US01017,Chambers County,Alabama,01017,6899,257,57,,,,73,0,,,,209,80,,,,,39,,855,4,32820,554,8,6,,,,14,5,,,,3,8,,,,,6,,52,4
10,0500000US01019,Cherokee County,Alabama,01019,4491,126,36,,,,78,,,,,,71,,,,,11,,478,,28850,361,8,5,,,,7,,,,,,9,,,,,3,,30,
11,0500000US01021,Chilton County,Alabama,01021,7892,183,61,,,,253,37,,,,,48,,,,,64,,864,10,33680,756,7,8,,,,16,5,,,,,8,,,,,6,,45,3
12,0500000US01023,Choctaw County,Alabama,01023,2811,0,35,,,,,0,,,,,20,,,,,10,,127,,51820,257,6,4,,,,,3,,,,,4,,,,,3,,13,
13,0500000US01025,Clarke County,Alabama,01025,6474,188,99,,,,60,0,,,,,56,,,,,51,,666,20,35340,600,9,8,,,,10,3,,,,,9,,,,,7,,41,5
14,0500000US01027,Clay County,Alabama,01027,3450,106,38,,,,45,,,,,,21,,,,,,,123,,32740,185,3,3,,,,5,,,,,,4,,,,,,,11,
15,0500000US01029,Cleburne County,Alabama,01029,1709,0,,,,,,,,,,,23,,,,,,,129,,39030,170,3,,,,,,,,,,,4,,,,,,,7,
16,0500000US01031,Coffee County,Alabama,01031,13378,209,111,,,0,247,62,,0,,,148,,,,,100,31,1548,77,32740,985,5,12,,,4,27,7,,3,,,16,,,,,11,3,88,15
17,0500000US01033,Colbert County,Alabama,01033,23258,363,211,,,,539,41,,129,,0,79,,,,,48,5,1898,92,37890,1217,11,23,,,,38,4,,8,,3,7,,,,,8,4,90,13
18,0500000US01035,Conecuh County,Alabama,01035,2616,79,,,,,38,,,,,,,,,,,13,,327,,32450,196,4,,,,,4,,,,,,,,,,,3,,12,
19,0500000US01037,Coosa County,Alabama,01037,1036,,,,,,,,,,,,,,,,,,,1,,36030,96,,,,,,,,,,,,,,,,,,,3,
20,0500000US01039,Covington County,Alabama,01039,10433,286,110,,,,228,,,,,0,52,,,,,53,,819,15,34270,816,7,11,,,,34,,,,,3,8,,,,,9,,50,7
21,0500000US01041,Crenshaw County,Alabama,01041,3193,0,30,,,,,,,,,,30,,,,,,,164,,34830,214,3,4,,,,,,,,,,3,,,,,,,13,
22,0500000US01043,Cullman County,Alabama,01043,25233,653,241,,,33,694,122,60,,,0,127,,,,10,174,,2702,73,36010,1739,16,26,,,4,55,12,10,,,4,17,,,,3,15,,125,16
23,0500000US01045,Dale County,Alabama,01045,10893,131,55,,,,47,,,0,,,29,,,,,96,7,896,35,49700,744,9,6,,,,12,,,3,,,7,,,,,6,3,63,10
