OBJECTID,GEO_ID,GEO_NAME,GEO_PARENT_NAME,FIPS_CODE,B16004_003E,B16004_003M,B16004_025E,B16004_025M,B16004_047E,B16004_047M,DP02_0115E,DP02_0115M,DP02_0117E,DP02_0117M,DP02_0119E,DP02_0119M,DP02_0121E,DP02_0121M,LANGSPHOMEP_CALC,LANGIEHOMEP_CALC,LANGAPIHOMEP_CALC,LANGOTHOMEP_CALC,S1601_C01_002E,S1601_C01_002M,S1601_C01_005E,S1601_C01_005M,S1601_C01_006E,S1601_C01_006M,S1601_C01_007E,S1601_C01_007M,S1601_C01_004E,S1601_C01_004M,S1601_C03_005E,S1601_C03_005M,S1601_C03_006E,S1601_C03_006M,S1601_C03_007E,S1601_C03_007M,S1601_C03_004E,S1601_C03_004M,S1601_C05_005E,S1601_C05_005M,S1601_C05_006E,S1601_C05_006M,S1601_C05_007E,S1601_C05_007M,S1601_C05_004E,S1601_C05_004M,S1601_C01_009E,S1601_C01_009M,S1601_C01_010E,S1601_C01_010M,S1601_C01_011E,S1601_C01_011M,S1601_C01_008E,S1601_C01_008M,S1601_C03_009E,S1601_C03_009M,S1601_C03_010E,S1601_C03_010M,S1601_C03_011E,S1601_C03_011M,S1601_C03_008E,S1601_C03_008M,S1601_C05_009E,S1601_C05_009M,S1601_C05_010E,S1601_C05_010M,S1601_C05_011E,S1601_C05_011M,S1601_C05_008E,S1601_C05_008M,S1601_C01_013E,S1601_C01_013M,S1601_C01_014E,S1601_C01_014M,S1601_C01_015E,S1601_C01_015M,S1601_C01_012E,S1601_C01_012M,S1601_C03_013E,S1601_C03_013M,S1601_C03_014E,S1601_C03_014M,S1601_C03_015E,S1601_C03_015M,S1601_C03_012E,S1601_C03_012M,S1601_C05_013E,S1601_C05_013M,S1601_C05_014E,S1601_C05_014M,S1601_C05_015E,S1601_C05_015M,S1601_C05_012E,S1601_C05_012M,S1601_C01_017E,S1601_C01_017M,S1601_C01_018E,S1601_C01_018M,S1601_C01_019E,S1601_C01_019M,S1601_C01_016E,S1601_C01_016M,S1601_C03_017E,S1601_C03_017M,S1601_C03_018E,S1601_C03_018M,S1601_C03_019E,S1601_C03_019M,S1601_C03_016E,S1601_C03_016M,S1601_C05_017E,S1601_C05_017M,S1601_C05_018E,S1601_C05_018M,S1601_C05_019E,S1601_C05_019M,S1601_C05_016E,S1601_C05_016M,S1602_C04_001E,S1602_C04_001M
1,0500000US01001,Autauga County,Alabama,01001,9603,178,32447,297,7890,94,390,193,15,16,292,77,0,28,31.88,6.52,61.59,0,49940,388,319,165,732,276,67,58,1118,347,293,159,368,187,67,58,728,241,26,33,364,178,0,28,390,193,92,88,116,70,48,49,256,148,92,88,110,70,39,46,241,148,0,28,6,9,9,14,15,16,92,66,476,132,45,43,613,157,58,44,230,116,33,40,321,134,34,28,246,62,12,20,292,77,0,28,10,15,0,28,10,15,0,28,10,15,0,28,10,15,0,28,0,28,0,28,0,28,0.7,0.4
2,0500000US01003,Baldwin County,Alabama,01003,32230,424,114180,902,39492,321,2380,569,308,178,618,286,0,28,74.2,10.89,14.91,0,185902,1077,1479,353,5576,750,473,208,7528,864,1131,348,3687,668,330,203,5148,829,348,194,1889,531,143,86,2380,569,173,98,1302,408,584,243,2059,434,67,49,1155,396,529,237,1751,377,106,86,147,109,55,43,308,178,186,148,659,273,116,78,961,351,118,127,164,138,61,64,343,198,68,102,495,252,55,62,618,286,0,28,48,51,0,28,48,51,0,28,48,51,0,28,48,51,0,28,0,28,0,28,0,28,1.4,0.5
3,0500000US01005,Barbour County,Alabama,01005,3695,69,14655,160,4547,39,469,143,52,59,61,38,0,22,64.44,11.85,23.7,0,22897,207,351,63,843,147,38,31,1232,190,272,49,473,99,18,22,763,112,79,52,370,107,20,21,469,143,0,22,93,59,49,36,142,79,0,22,72,52,18,21,90,56,0,22,21,33,31,30,52,59,0,22,78,47,0,22,78,47,0,22,17,23,0,22,17,23,0,22,61,38,0,22,61,38,0,22,43,29,0,22,43,29,0,22,43,29,0,22,43,29,0,22,0,22,0,22,0,22,1.5,0.7
4,0500000US01007,Bibb County,Alabama,01007,3369,186,13841,170,3539,176,269,109,0,22,0,22,0,22,100,0,0,0,20749,237,15,32,347,112,71,71,433,112,0,22,102,58,62,58,164,81,15,32,245,112,9,20,269,109,0,22,15,20,51,57,66,62,0,22,15,20,51,57,66,62,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,4,7,0,22,4,7,0,22,4,7,0,22,4,7,0,22,0,22,0,22,0,22,0.7,0.5
5,0500000US01009,Blount County,Alabama,01009,8759,192,31065,255,10023,101,1722,256,29,34,12,14,26,31,93.36,4.98,0,1.66,49847,323,1220,163,2656,233,143,53,4019,314,1105,172,1163,291,29,31,2297,360,115,85,1493,210,114,47,1722,256,0,28,164,101,33,35,197,102,0,28,151,99,17,26,168,98,0,28,13,23,16,24,29,34,0,28,16,21,31,23,47,32,0,28,13,17,22,20,35,28,0,28,3,5,9,13,12,14,4,7,43,40,3,5,50,44,0,28,21,27,3,5,24,28,4,7,22,27,0,28,26,31,1.5,0.5
6,0500000US01011,Bullock County,Alabama,01011,1548,56,6467,73,1555,47,60,57,21,24,0,19,0,19,81.58,18.42,0,0,9570,94,6,14,78,67,17,29,101,80,6,14,18,36,17,29,41,47,0,19,60,57,0,19,60,57,0,19,41,39,14,23,55,44,0,19,34,38,0,19,34,38,0,19,7,12,14,23,21,24,0,19,0,19,23,37,23,37,0,19,0,19,23,37,23,37,0,19,0,19,0,19,0,19,0,19,0,19,7,14,7,14,0,19,0,19,7,14,7,14,0,19,0,19,0,19,0,19,1.1,1
7,0500000US01013,Butler County,Alabama,01013,3321,17,11480,96,3747,42,13,21,10,11,90,104,0,22,43.33,0,56.67,0,18548,111,3,7,39,29,37,39,79,51,3,7,26,18,37,39,66,45,0,22,13,21,0,22,13,21,37,44,39,34,6,10,82,73,37,44,29,27,6,10,72,62,0,22,10,11,0,22,10,11,0,22,95,107,16,20,111,104,0,22,15,25,6,8,21,24,0,22,80,108,10,19,90,104,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0.4,0.4
8,0500000US01015,Calhoun County,Alabama,01015,17579,235,67544,375,18875,114,1295,209,175,169,312,141,0,28,64.83,11.02,24.15,0,103998,532,984,215,2121,264,232,93,3337,408,888,223,1043,228,111,76,2042,355,96,67,1078,197,121,65,1295,209,29,35,416,207,127,85,572,246,29,35,260,111,108,81,397,158,0,28,156,168,19,22,175,169,42,57,368,150,143,80,553,197,36,56,172,136,33,33,241,157,6,10,196,121,110,82,312,141,0,28,67,58,9,13,76,59,0,28,67,58,9,13,76,59,0,28,0,28,0,28,0,28,1,0.3
9,0500000US01017,Chambers County,Alabama,01017,5041,124,19783,152,6354,82,64,76,37,45,162,87,0,25,53.25,12.99,33.77,0,31178,192,15,33,327,130,1,2,343,128,0,25,278,134,1,2,279,134,15,33,49,65,0,25,64,76,0,25,66,63,21,20,87,70,0,25,43,44,7,12,50,45,0,25,23,35,14,16,37,45,0,25,235,105,33,30,268,115,0,25,106,60,0,25,106,60,0,25,129,67,33,30,162,87,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0.6,0.5
10,0500000US01019,Cherokee County,Alabama,01019,4008,121,14773,186,5566,102,118,75,12,20,0,22,0,22,84.81,15.19,0,0,24347,129,50,43,156,74,9,15,215,92,7,14,81,62,9,15,97,66,43,40,75,65,0,22,118,75,0,22,3,4,20,23,23,24,0,22,3,4,8,12,11,13,0,22,0,22,12,20,12,20,0,22,12,21,13,20,25,29,0,22,12,21,13,20,25,29,0,22,0,22,0,22,0,22,24,39,2,3,13,21,39,44,24,39,2,3,13,21,39,44,0,22,0,22,0,22,0,22,0.7,0.6
