OBJECTID,GEO_ID,GEO_NAME,GEO_PARENT_NAME,FIPS_CODE,NRCPTOT_00,NRCPTOT_4451,NRCPTOT_44611,NRCPTOT_4854,NRCPTOT_5121,NRCPTOT_6211,NRCPTOT_6214,NRCPTOT_6215,NRCPTOT_6219,NRCPTOT_6244,NRCPTOT_7111,NRCPTOT_7112,NRCPTOT_7121,NRCPTOT_7131,NRCPTOT_7211,NRCPTOT_7224,NRCPTOT_7225,NRCPTOT_8121,NRCPAVG_CALC,NESTAB_00,NESTAB_4451,NESTAB_44611,NESTAB_4854,NESTAB_5121,NESTAB_6211,NESTAB_6214,NESTAB_6215,NESTAB_6219,NESTAB_6244,NESTAB_7111,NESTAB_7112,NESTAB_7121,NESTAB_7131,NESTAB_7211,NESTAB_7224,NESTAB_7225,NESTAB_8121
1,0500000US01001,Autauga County,Alabama,01001,126991,88,,,0,1934,0,0,42,530,245,143,,,91,0,1009,6902,39270,3234,7,,,0,17,0,0,7,40,9,19,,,4,0,13,261
2,0500000US01003,Baldwin County,Alabama,01003,979262,214,25,24,778,20353,120,585,259,2703,1389,1737,92,198,3264,1013,10742,23896,50460,19408,14,4,3,31,210,7,11,27,215,66,110,4,9,28,26,83,819
3,0500000US01005,Barbour County,Alabama,01005,45457,147,,,,59,0,,0,432,17,6,0,,0,0,2152,2620,32960,1379,3,,,,3,0,,0,37,4,3,0,,0,0,11,144
4,0500000US01007,Bibb County,Alabama,01007,46347,0,,,,19,,,0,132,19,0,,,0,0,196,1691,40300,1150,0,,,,3,,,0,15,3,0,,,0,0,5,87
5,0500000US01009,Blount County,Alabama,01009,141762,126,,0,40,310,0,113,58,286,18,221,,,264,0,1274,4017,39730,3568,4,,0,4,7,0,7,8,23,5,23,,,5,0,27,167
6,0500000US01011,Bullock County,Alabama,01011,17250,0,0,,,0,,0,0,250,0,0,,,0,50,134,1370,34360,502,0,0,,,0,,0,0,24,0,0,,,0,3,3,105
7,0500000US01013,Butler County,Alabama,01013,40249,0,,,0,887,,0,,428,0,30,,,,0,144,1541,36620,1099,0,,,0,8,,0,,43,0,6,,,,0,4,84
8,0500000US01015,Calhoun County,Alabama,01015,253276,367,0,0,257,6145,0,131,385,1413,138,171,0,0,589,592,1269,11894,38570,6566,8,0,0,12,59,0,4,16,118,17,51,0,0,8,8,30,525
9,0500000US01017,Chambers County,Alabama,01017,65350,541,0,,,947,0,0,,1102,35,120,0,0,0,65,57,3363,30050,2175,8,0,,,7,0,0,,109,7,19,0,0,0,5,10,181
10,0500000US01019,Cherokee County,Alabama,01019,64119,0,813,,0,0,58,72,125,191,162,41,,0,0,,491,1488,40890,1568,0,4,,0,0,3,4,6,15,5,12,,0,0,,14,83
11,0500000US01021,Chilton County,Alabama,01021,114036,636,0,,0,878,,0,46,442,115,48,,,68,106,631,3628,39540,2884,5,0,,0,8,,0,4,36,11,13,,,3,3,11,173
