State,ST,Fips_x,County,Precincts,Votes,Democrats 08 (Votes),Democrats 12 (Votes),Republicans 08 (Votes),Republicans 12 (Votes),Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Republicans 2012,Republicans 2008,Democrats 2012,Democrats 2008,SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE,FIPS,Fips_y,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,FIPStxt_x,Stabr,area_name,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Postal Code,"Poverty Estimate, All Ages","Poverty Percent, All Ages","Poverty Estimate, Age 0-17","Poverty Percent, Age 0-17","Poverty Estimate, Age 5-17 in Families","Poverty Percent, Age 5-17 in Families",Median Household Income,NIPR,NUI,NIC,PCTUI,PCTIC,PCTELIG,PCTLIIC,--,Administrative,Agriculture,Construction,Educational Services,Finance,Food services,Health care,Information,Management,Manufacturing,Mining,Other,Professional Services,Real Estate,Recreation,Retail,Transportation,Utitilities,Wholesale,FIPStxt_y,Fips,County,2012 Population,2016 Population,state population 2012,state population 2016,% of state pop 2012,% of state pop 2016,# of state advanced ballots cast 2012,# of state advanced ballots cast 2016,calculated approx. county adv. Ballots 2012,calculated approx. county adv. Ballots 2016,# votes 2012,# votes 2016,id_laws,reg_laws,felony_laws,early_voting
Georgia,GA,13089,"DeKalb County, Georgia",192,295871,254594,238224,65581,64392,16.06477147,80.82272342,,3.112505112,21.02492939,20.34756007,77.78361876,78.99188344,50,13,89,Georgia,DeKalb County,9,0,746802,353157,393645,131573,135656,187973,223367,2088,1591,23936,24325,287,322,7300,8384,137315,142129,192299,228617,4568,4582,26410,27094,642,713,319713,363368,105370,112765,183963,218703,579,601,23581,24015,144,172,6076,7112,110123,118200,187560,223147,2461,2984,25802,26493,426,492,33444,30277,26203,22891,4010,4664,1509,990,355,310,143,150,1224,1272,27192,23929,4739,5470,2107,1598,608,601,216,221,13089,13089,87.9,38.7,15.1,76.15,13089,GA,"DeKalb County, GA",382087,361505,20582,5.4,GA,127476,17.5,44482,25.8,29054,24.4,56053,643155,98243,544912,15.3,84.7,15.3,84.7,16822,4640,35,3920,1750,4325,7485,10010,1910,695,2010,30,7325,14950,5090,1460,11225,2295,145,4640,13089,13089,"DeKalb County, Georgia",710557,746802,9901430,10301890,0.071763069,0.072491747,1918931,2381782,137708.3769,172659.5373,306265,314757,3,3,1,0
Texas,TX,48487,"Wilbarger County, Texas",7,4101,1196,971,3283,2956,77.20068276,19.67812729,0.316995855,2.804194099,74.27135678,72.80993568,24.39698492,26.52472832,50,48,487,Texas,Wilbarger County,9,0,12880,6393,6487,5407,5556,534,515,99,103,203,179,5,5,145,129,5537,5674,602,584,159,152,229,200,11,10,4505,4680,3655,3874,480,464,61,64,194,172,2,4,113,102,3759,3968,533,521,103,100,215,190,8,7,1888,1807,1752,1682,54,51,38,39,9,7,3,1,32,27,1778,1706,69,63,56,52,14,10,3,3,48487,48487,73.6,15.9,5.9,69.25,48487,TX,"Wilbarger County, TX",5046,4809,237,4.7,TX,1981,15.8,717,24.7,486,23.6,40955,10423,2012,8411,19.3,80.7,19.3,80.7,294,30,10,100,5,150,165,145,45,,55,35,180,90,60,20,225,55,40,55,48487,48487,"Wilbarger County, Texas",13289,12880,26084481,27914410,0.00050946,0.00046141,5182127,4497431,2640.086483,2075.161584,3980,4105,3,2,0,0
Virginia,VA,51111,"Lunenburg County, Virginia",12,5577,2703,2684,2900,2969,57.48610364,39.91393222,0.448269679,1.57790927,51.77886292,51.32743363,46.80851064,47.84070796,50,51,111,Virginia,Lunenburg County,9,0,12319,6523,5796,4033,3760,2316,1854,29,29,15,22,12,9,118,122,4139,3875,2389,1925,62,76,40,37,17,14,6182,5553,3784,3582,2263,1822,22,21,15,22,3,1,95,105,3869,3681,2322,1885,47,59,36,36,7,4,341,243,249,178,53,32,7,8,0,0,9,8,23,17,270,194,67,40,15,17,4,1,10,10,51111,51111,71.5,10,3,72.35,51111,VA,"Lunenburg County, VA",5245,5001,244,4.7,VA,2231,19.8,586,26.1,414,25.5,38313,8651,1234,7417,14.3,85.7,14.3,85.7,173,40,25,135,,45,45,75,10,5,35,,125,40,10,10,190,40,,35,51111,51111,"Lunenburg County, Virginia",12638,12319,8185080,8410106,0.001544029,0.001464785,447907,541543,691.5813487,793.2442489,5734,5586,2,2,2,1
Georgia,GA,13297,"Walton County, Georgia",21,40425,8469,8148,27253,29036,76.9152752,20.47990105,,2.604823748,77.19876635,75.64814301,21.66329895,23.50802198,50,13,297,Georgia,Walton County,9,0,89786,43724,46062,34879,36013,7273,8409,170,184,591,703,52,42,759,711,35560,36648,7680,8809,406,387,773,869,87,88,41825,44222,33337,34533,7131,8235,107,124,567,687,38,27,645,616,33917,35082,7476,8589,291,290,731,837,69,63,1899,1840,1542,1480,142,174,63,60,24,16,14,15,114,95,1643,1566,204,220,115,97,42,32,18,25,13297,13297,80.4,17.3,5.3,73.75,13297,GA,"Walton County, GA",43313,41186,2127,4.9,GA,11385,12.8,4264,18.9,2994,17.7,55267,76272,10825,65447,14.2,85.8,14.2,85.8,1602,590,30,1415,105,445,555,745,95,25,250,5,825,720,405,80,980,290,30,405,13297,13297,"Walton County, Georgia",84975,89786,9901430,10301890,0.008582094,0.008715488,1918931,2381782,16468.44564,20758.39275,37612,40698,3,3,1,0
North Carolina,NC,37011,"Avery County, North Carolina",19,8060,2178,1882,5681,5766,77.24565757,20.71960298,,2.034739454,74.31370022,71.52209493,24.25570305,27.42037014,50,37,11,North Carolina,Avery County,9,0,17442,9513,7929,8652,7643,678,102,66,36,39,48,5,5,73,95,8718,7732,710,139,104,85,50,62,5,9,8959,7613,8154,7363,667,89,38,30,33,39,3,4,64,88,8211,7445,694,121,73,77,43,53,3,8,554,316,498,280,11,13,28,6,6,9,2,1,9,7,507,287,16,18,31,8,7,9,2,1,37011,37011,81.3,20.3,6,76.25,37011,NC,"Avery County, NC",7576,7195,381,5,NC,2985,19.7,781,30.2,533,27.6,38098,11501,2126,9375,18.5,81.5,18.5,81.5,474,130,10,315,10,85,275,200,40,5,70,5,260,165,180,75,405,55,10,75,37011,37011,"Avery County, North Carolina",17611,17442,9749476,10154788,0.001806353,0.001717613,2774599,3102834,5011.906587,5329.469274,7759,8249,3,2,0,0
North Carolina,NC,37069,"Franklin County, North Carolina",18,29902,13085,13436,13273,14603,54.57828908,42.84328807,,2.578422848,51.43893762,49.8254439,47.3281905,49.1197117,50,37,69,North Carolina,Franklin County,9,0,64676,32169,32507,22827,22536,8217,8837,307,281,170,225,28,25,620,603,23351,23051,8585,9197,531,507,313,346,55,48,29310,30111,20602,20629,7905,8612,146,166,127,194,4,7,526,503,21041,21058,8225,8913,330,354,255,295,26,26,2859,2396,2225,1907,312,225,161,115,43,31,24,18,94,100,2310,1993,360,284,201,153,58,51,29,22,37069,37069,80.1,15.2,4.6,75.4,37069,NC,"Franklin County, NC",29347,27816,1531,5.2,NC,9624,15.3,3048,21.5,2093,19.7,49484,52633,6878,45755,13.1,86.9,13.1,86.9,1011,370,65,1005,50,180,290,375,60,5,235,15,640,410,140,45,720,200,20,220,37069,37069,"Franklin County, North Carolina",61405,64676,9749476,10154788,0.006298287,0.006369015,2774599,3102834,17475.2214,19761.99718,28389,30368,3,2,0,0
Michigan,MI,26037,"Clinton County, Michigan",35,40564,20005,18191,19726,20650,53.33546987,40.65180949,0.934326003,4.646977616,52.63157895,48.84970655,46.36421562,49.54062554,50,26,37,Michigan,Clinton County,9,0,77617,38360,39257,36101,36966,793,673,188,198,581,669,18,18,679,733,36736,37654,1109,1016,411,469,759,833,40,42,36594,37525,34539,35415,732,625,149,157,558,663,14,14,602,651,35105,36032,1010,922,336,393,724,814,35,37,1766,1732,1562,1551,61,48,39,41,23,6,4,4,77,82,1631,1622,99,94,75,76,35,19,5,5,26037,26037,93,27.2,9.7,80.85,26037,MI,"Clinton County, MI",40488,38993,1495,3.7,MI,6509,8.4,1712,9.9,1067,8.2,66396,65122,2939,62183,4.5,95.5,4.5,95.5,1310,385,40,895,60,435,535,580,110,10,290,15,740,570,295,100,875,260,,340,26037,26037,"Clinton County, Michigan",76166,77617,9897145,9950571,0.007695755,0.007800256,1244033,1116233,9573.772788,8706.903027,39235,40655,2,1,0,1
Arkansas,AR,5045,"Faulkner County, Arkansas",50,47196,14955,13621,25362,26722,61.80608526,30.77591321,1.07424358,3.472751928,64.45248432,61.58964521,32.85335263,36.31705481,50,5,45,Arkansas,Faulkner County,9,0,122206,59828,62378,50667,52270,6788,7471,419,465,712,811,52,42,1190,1319,51721,53470,7333,8048,857,979,993,1101,172,167,57200,60035,48366,50253,6689,7380,324,353,693,790,32,38,1096,1221,49335,51365,7190,7925,717,810,955,1061,146,154,2628,2343,2301,2017,99,91,95,112,19,21,20,4,94,98,2386,2105,143,123,140,169,38,40,26,13,5045,5045,87.4,26.4,8.6,76.8,5045,AR,"Faulkner County, AR",60456,58164,2292,3.8,AR,18782,16,4841,17.2,3141,15.2,50909,104046,8558,95488,8.2,91.8,8.2,91.8,2522,565,20,1355,140,870,1090,1550,150,95,415,150,1260,1195,675,135,2010,355,55,510,5045,5045,"Faulkner County, Arkansas",118523,122206,2952164,2989918,0.040147837,0.040872693,497962,590667,19992.09737,24142.15086,41460,47527,3,2,1,0
North Carolina,NC,37025,"Cabarrus County, North Carolina",46,91002,31546,32849,45924,49557,58.48662667,38.51343927,,2.999934067,59.30282651,58.88145242,39.30904913,40.44670103,50,37,25,North Carolina,Cabarrus County,9,0,201639,98225,103414,74824,77367,16948,19189,650,740,3675,3737,72,99,2056,2282,76702,79418,18285,20665,1159,1369,4092,4195,150,180,88003,93315,66461,69138,15944,18239,288,311,3519,3610,40,56,1751,1961,68057,70907,17101,19511,695,824,3900,4023,98,121,10222,10099,8363,8229,1004,950,362,429,156,127,32,43,305,321,8645,8511,1184,1154,464,545,192,172,52,59,37025,37025,85,23.5,7.1,77.4,37025,NC,"Cabarrus County, NC",101184,96569,4615,4.6,NC,21980,11,8284,16.1,5388,13.9,63059,174886,17123,157763,9.8,90.2,9.8,90.2,4234,1245,40,2590,245,1015,1865,1845,295,105,770,15,2265,1855,1080,460,3610,655,35,1150,37025,37025,"Cabarrus County, North Carolina",184340,201639,9749476,10154788,0.018907683,0.019856545,2774599,3102834,52461.23788,61611.56146,83566,93289,3,2,0,0
Idaho,ID,16025,"Camas County, Idaho",2,599,187,159,422,402,68.44741235,18.3639399,2.504173623,3.839732888,69.55017301,68.28478964,27.50865052,30.25889968,50,16,25,Idaho,Camas County,9,0,1082,562,520,525,486,1,3,10,6,2,3,0,1,24,21,549,506,5,11,26,18,7,5,0,1,518,489,485,458,1,2,9,6,2,3,0,1,21,19,506,477,5,9,22,17,7,4,0,1,44,31,40,28,0,1,1,0,0,0,0,0,3,2,43,29,0,2,4,1,0,1,0,0,16025,16025,81.9,22.6,5.9,77.5,16025,ID,"Camas County, ID",659,635,24,3.6,ID,106,9.9,35,14.1,22,11.1,49153,842,134,708,15.9,84.1,15.9,84.1,31,5,,40,,5,30,15,,,10,,10,,,15,15,10,,,16025,16025,"Camas County, Idaho",1085,1082,1595324,1682380,0.000680113,0.000643137,164319,193421,111.7554271,124.3961067,578,590,3,2,0,0
